PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 08/09/25 15:02,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,25_09_07_Match_measured_2_1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_167,Y,Bomen solar farm 2021 17 1.9 Hay model.csv,17,1.9,24_10_08_Match_measured_inv_2_167
SIM_168,Y,Bomen solar farm 2021 17 2.0 Hay model.csv,17,2,24_10_08_Match_measured_inv_2_168
SIM_169,Y,Bomen solar farm 2021 18 0.0 Hay model.csv,18,0,24_10_08_Match_measured_inv_2_169
SIM_170,Y,Bomen solar farm 2021 18 0.1 Hay model.csv,18,0.1,24_10_08_Match_measured_inv_2_170
SIM_171,Y,Bomen solar farm 2021 18 0.2 Hay model.csv,18,0.2,24_10_08_Match_measured_inv_2_171
SIM_172,Y,Bomen solar farm 2021 18 0.3 Hay model.csv,18,0.3,24_10_08_Match_measured_inv_2_172
SIM_173,Y,Bomen solar farm 2021 18 0.4 Hay model.csv,18,0.4,24_10_08_Match_measured_inv_2_173
SIM_174,Y,Bomen solar farm 2021 18 0.5 Hay model.csv,18,0.5,24_10_08_Match_measured_inv_2_174
SIM_175,Y,Bomen solar farm 2021 18 0.6 Hay model.csv,18,0.6,24_10_08_Match_measured_inv_2_175
SIM_176,Y,Bomen solar farm 2021 18 0.7 Hay model.csv,18,0.7,24_10_08_Match_measured_inv_2_176
SIM_177,Y,Bomen solar farm 2021 18 0.8 Hay model.csv,18,0.8,24_10_08_Match_measured_inv_2_177
SIM_178,Y,Bomen solar farm 2021 18 0.9 Hay model.csv,18,0.9,24_10_08_Match_measured_inv_2_178
SIM_179,Y,Bomen solar farm 2021 18 1.0 Hay model.csv,18,1,24_10_08_Match_measured_inv_2_179
SIM_180,Y,Bomen solar farm 2021 18 1.1 Hay model.csv,18,1.1,24_10_08_Match_measured_inv_2_180
SIM_181,Y,Bomen solar farm 2021 18 1.2 Hay model.csv,18,1.2,24_10_08_Match_measured_inv_2_181
SIM_182,Y,Bomen solar farm 2021 18 1.3 Hay model.csv,18,1.3,24_10_08_Match_measured_inv_2_182
SIM_183,Y,Bomen solar farm 2021 18 1.4 Hay model.csv,18,1.4,24_10_08_Match_measured_inv_2_183
SIM_184,Y,Bomen solar farm 2021 18 1.5 Hay model.csv,18,1.5,24_10_08_Match_measured_inv_2_184
SIM_185,Y,Bomen solar farm 2021 18 1.6 Hay model.csv,18,1.6,24_10_08_Match_measured_inv_2_185
SIM_186,Y,Bomen solar farm 2021 18 1.7 Hay model.csv,18,1.7,24_10_08_Match_measured_inv_2_186
SIM_187,Y,Bomen solar farm 2021 18 1.8 Hay model.csv,18,1.8,24_10_08_Match_measured_inv_2_187
SIM_188,Y,Bomen solar farm 2021 18 1.9 Hay model.csv,18,1.9,24_10_08_Match_measured_inv_2_188
SIM_189,Y,Bomen solar farm 2021 18 2.0 Hay model.csv,18,2,24_10_08_Match_measured_inv_2_189
SIM_190,Y,Bomen solar farm 2021 19 0.0 Hay model.csv,19,0,24_10_08_Match_measured_inv_2_190
SIM_191,Y,Bomen solar farm 2021 19 0.1 Hay model.csv,19,0.1,24_10_08_Match_measured_inv_2_191
SIM_192,Y,Bomen solar farm 2021 19 0.2 Hay model.csv,19,0.2,24_10_08_Match_measured_inv_2_192
SIM_193,Y,Bomen solar farm 2021 19 0.3 Hay model.csv,19,0.3,24_10_08_Match_measured_inv_2_193
SIM_194,Y,Bomen solar farm 2021 19 0.4 Hay model.csv,19,0.4,24_10_08_Match_measured_inv_2_194
SIM_195,Y,Bomen solar farm 2021 19 0.5 Hay model.csv,19,0.5,24_10_08_Match_measured_inv_2_195
SIM_196,Y,Bomen solar farm 2021 19 0.6 Hay model.csv,19,0.6,24_10_08_Match_measured_inv_2_196
SIM_197,Y,Bomen solar farm 2021 19 0.7 Hay model.csv,19,0.7,24_10_08_Match_measured_inv_2_197
SIM_198,Y,Bomen solar farm 2021 19 0.8 Hay model.csv,19,0.8,24_10_08_Match_measured_inv_2_198
SIM_199,Y,Bomen solar farm 2021 19 0.9 Hay model.csv,19,0.9,24_10_08_Match_measured_inv_2_199
SIM_200,Y,Bomen solar farm 2021 19 1.0 Hay model.csv,19,1,24_10_08_Match_measured_inv_2_200
SIM_201,Y,Bomen solar farm 2021 19 1.1 Hay model.csv,19,1.1,24_10_08_Match_measured_inv_2_201
SIM_202,Y,Bomen solar farm 2021 19 1.2 Hay model.csv,19,1.2,24_10_08_Match_measured_inv_2_202
SIM_203,Y,Bomen solar farm 2021 19 1.3 Hay model.csv,19,1.3,24_10_08_Match_measured_inv_2_203
SIM_204,Y,Bomen solar farm 2021 19 1.4 Hay model.csv,19,1.4,24_10_08_Match_measured_inv_2_204
SIM_205,Y,Bomen solar farm 2021 19 1.5 Hay model.csv,19,1.5,24_10_08_Match_measured_inv_2_205
SIM_206,Y,Bomen solar farm 2021 19 1.6 Hay model.csv,19,1.6,24_10_08_Match_measured_inv_2_206
